date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:01:49	7209/7209	---M-Z	200	added ('OK')	application/javascript	etag:W/%22602eac2b-1c29%22	https://tobloef.com/text2mindmap/scripts/old/difflib.js	C:/Users/harsh/Documents/mit/abhyast_organisation/mindmap/ui/mindmap/tobloef.com/text2mindmap/scripts/old/difflib.js	(from https://tobloef.com/text2mindmap/)
18:01:49	51135/51135	---M-Z	200	added ('OK')	application/javascript	etag:W/%22602eac2b-c7bf%22	https://tobloef.com/text2mindmap/scripts/old/mindmap.min.js	C:/Users/harsh/Documents/mit/abhyast_organisation/mindmap/ui/mindmap/tobloef.com/text2mindmap/scripts/old/mindmap.min.js	(from https://tobloef.com/text2mindmap/)
18:01:50	693/693	---M-Z	200	added ('OK')	application/javascript	etag:W/%22602eac2b-2b5%22	https://tobloef.com/text2mindmap/scripts/unsaved_changes.js	C:/Users/harsh/Documents/mit/abhyast_organisation/mindmap/ui/mindmap/tobloef.com/text2mindmap/scripts/unsaved_changes.js	(from https://tobloef.com/text2mindmap/)
18:01:50	1885/1885	---M-Z	200	added ('OK')	application/javascript	etag:W/%22602eac2b-75d%22	https://tobloef.com/text2mindmap/scripts/settings.js	C:/Users/harsh/Documents/mit/abhyast_organisation/mindmap/ui/mindmap/tobloef.com/text2mindmap/scripts/settings.js	(from https://tobloef.com/text2mindmap/)
18:01:50	2238/2238	---M-Z	200	added ('OK')	application/javascript	etag:W/%22602eac2b-8be%22	https://tobloef.com/text2mindmap/scripts/document_title.js	C:/Users/harsh/Documents/mit/abhyast_organisation/mindmap/ui/mindmap/tobloef.com/text2mindmap/scripts/document_title.js	(from https://tobloef.com/text2mindmap/)
18:01:51	1854/1854	---M-Z	200	added ('OK')	application/javascript	etag:W/%22602eac2b-73e%22	https://tobloef.com/text2mindmap/scripts/file_import.js	C:/Users/harsh/Documents/mit/abhyast_organisation/mindmap/ui/mindmap/tobloef.com/text2mindmap/scripts/file_import.js	(from https://tobloef.com/text2mindmap/)
18:01:51	798/798	---M-Z	200	added ('OK')	application/javascript	etag:W/%22602eac2b-31e%22	https://tobloef.com/text2mindmap/scripts/file_export.js	C:/Users/harsh/Documents/mit/abhyast_organisation/mindmap/ui/mindmap/tobloef.com/text2mindmap/scripts/file_export.js	(from https://tobloef.com/text2mindmap/)
18:01:52	1544/1544	---M-Z	200	added ('OK')	application/javascript	etag:W/%22602eac2b-608%22	https://tobloef.com/text2mindmap/scripts/app_functions.js	C:/Users/harsh/Documents/mit/abhyast_organisation/mindmap/ui/mindmap/tobloef.com/text2mindmap/scripts/app_functions.js	(from https://tobloef.com/text2mindmap/)
18:01:52	1664/1664	---M-Z	200	added ('OK')	application/javascript	etag:W/%22602eac2b-680%22	https://tobloef.com/text2mindmap/scripts/navbar.js	C:/Users/harsh/Documents/mit/abhyast_organisation/mindmap/ui/mindmap/tobloef.com/text2mindmap/scripts/navbar.js	(from https://tobloef.com/text2mindmap/)
18:01:53	622/622	---M-Z	200	added ('OK')	application/javascript	etag:W/%22602eac2b-26e%22	https://tobloef.com/text2mindmap/scripts/modal.js	C:/Users/harsh/Documents/mit/abhyast_organisation/mindmap/ui/mindmap/tobloef.com/text2mindmap/scripts/modal.js	(from https://tobloef.com/text2mindmap/)
18:01:53	7821/7821	---M-Z	200	added ('OK')	application/javascript	etag:W/%22602eac2b-1e8d%22	https://tobloef.com/text2mindmap/scripts/pane_resizer.js	C:/Users/harsh/Documents/mit/abhyast_organisation/mindmap/ui/mindmap/tobloef.com/text2mindmap/scripts/pane_resizer.js	(from https://tobloef.com/text2mindmap/)
18:01:54	1680/1680	---M-Z	200	added ('OK')	application/javascript	etag:W/%22602eac2b-690%22	https://tobloef.com/text2mindmap/scripts/shortcuts.js	C:/Users/harsh/Documents/mit/abhyast_organisation/mindmap/ui/mindmap/tobloef.com/text2mindmap/scripts/shortcuts.js	(from https://tobloef.com/text2mindmap/)
18:01:54	1945/1945	---M-Z	200	added ('OK')	application/javascript	etag:W/%22602eac2b-799%22	https://tobloef.com/text2mindmap/scripts/main.js	C:/Users/harsh/Documents/mit/abhyast_organisation/mindmap/ui/mindmap/tobloef.com/text2mindmap/scripts/main.js	(from https://tobloef.com/text2mindmap/)
18:01:55	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Feb%202022%2012:31:55%20GMT	https://tobloef.com/text2mindmap/styles/old/images/ui-bg_highlight-soft_100_eeeeee_1x100.png	C:/Users/harsh/Documents/mit/abhyast_organisation/mindmap/ui/mindmap/tobloef.com/text2mindmap/styles/old/images/ui-bg_highlight-soft_100_eeeeee_1x100.png	(from https://tobloef.com/text2mindmap/styles/old/jquery-ui-1.10.3.custom.min.css)
